Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau BS De Boemerang;Stembureau TSV Gudok;Stembureau Onze 013 Boerderij Valleike;Stembureau Scholencentrum Grote Beemd;Stembureau Openbare Basisschool Koolhoven;Stembureau Gymzaal Mingersbergstraat;Stembureau FoxFarm;Stembureau Reeshof College;Stembureau Openbare Basisschool Bibit;Stembureau Gymzaal Meerssenstraat;Stembureau Sportclub 't Zand;Stembureau Ontmoetingscentrum De Driehoek;Stembureau Wijkcentrum Heyhoef (zaal 1);Stembureau Wijkcentrum Heyhoef (zaal 2);Stembureau Giardino d'Italia;Stembureau Buurthoeve Reeshof;Stembureau OBS de Fonkel;Stembureau Wijkgebouw Reinevaer;Stembureau Kindcentrum Wandelbos (ingang: Baden Powelllaan);Stembureau MFA Het Kruispunt;Stembureau Serviceflat de Duynsberg;Stembureau Wijkcentrum 't Sant (zaal 1);Stembureau Wijkcentrum 't Sant (zaal 2);Stembureau Enter Creative Hub (Tilburg West);Stembureau Parochiezaal de Goede Herder;Stembureau De Wever - De Hazelaar;Stembureau De Rooi Pannen;Stembureau Tilburg University;Stembureau Stichting Reitse Plint;Stembureau Avans Hogeschool;Stembureau Wijkcentrum De Back;Stembureau Kindcentrum Christoffel;Stembureau Openbare Basisschool De Blaak (ingang winkelcentrum);Stembureau Sportcafe de Blaak;Stembureau Sporthal De Blaak;Stembureau Basisschool De Lochtenbergh;Stembureau Wijkcentrum de Ypelaer;Stembureau Sportcafe Drieburcht;Stembureau Studio Noord - R-Newt;Stembureau MFA De Symfonie;Stembureau Bloementuinvereniging Sint Franciscus;Stembureau Basisschool d'n Hazennest;Stembureau 2 College Cobbenhagenlyceum;Stembureau MFA De Poorten (zaal 1);Stembureau MFA De Poorten (zaal 2);Stembureau TextielMuseum (zaal 1);Stembureau TextielMuseum (zaal 2);Stembureau Woonzorgcentrum Joannes Zwijsen;"Stembureau Centraal station Tilburg ""Noordzijde""";Stembureau MFA Het Spoor;Stembureau Herberg Den Herdgang;Stembureau Wijkcentrum de Baselaer (zaal 1);Stembureau Wijkcentrum de Baselaer (zaal 2);Stembureau Dansschool van Opstal (Locatie Tilburg);Stembureau Basisschool den Bijstere;Stembureau De Wissel;Stembureau Schouwburg - Vrije Ruimte (ingang Schouwburgring);Stembureau Factorium;Stembureau Paleis-Raadhuis;Stembureau Cinecitta;Stembureau Poppodium 013;Stembureau Servicecentrum Het Laar;Stembureau Philharmonie;Stembureau Wijkcentrum Nieuwe Stede (zaal 1);Stembureau Wijkcentrum Nieuwe Stede (zaal 2);Stembureau Seniorencomplex President Mandelahof;Stembureau Wijkcentrum Zuiderkwartier (zaal 1);Stembureau Wijkcentrum Zuiderkwartier (zaal 2);Stembureau Cafe Bet Kolen;Stembureau Koningsvoorde;Stembureau Wijkcentrum Koningshaven;Stembureau Buurthuis Jeruzalem;Stembureau Karakter Tilburg;Stembureau Wijkcentrum In De Boomtak;Stembureau Odulphuslyceum;Stembureau Spoorpark Tilburg;"Stembureau Centraal Station Tilburg ""Zuidzijde""";Stembureau Regionaal Archief Tilburg;Stembureau Interpolis;Stembureau Klasse Tilburg;Stembureau De Pelgrimhoeve;Stembureau Atletiekvereniging Attila;Stembureau Fontys Hogescholen campus Stappegoor;Stembureau Basisschool De Alm;Stembureau Wijkcentrum Spijkerbeemden;Stembureau Woonlandschap de Leyhoeve;Stembureau Cultureel Centrum De Schalm (zaal 1);Stembureau Cultureel Centrum De Schalm (zaal 2);Stembureau Boerderij Denissen;Stembureau Zorgcentrum Torentjeshoef;Stembureau Dansschool van Opstal (locatie Berkel-Enschot);Stembureau Sportcafe 't Ruiven;Stembureau Basisschool St. Caecilia;Stembureau t Plein;Stembureau Het Raadhuis Udenhout;Stembureau Kindcentrum de Mortel;Stembureau Sporthal De Roomley;Stembureau Gemeenschapshuis De Vorselaer;Stembureau Landgoed Assisië (locatie Dorpshuis)
Gebiednummer;;;;;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;301;302;303;304;305;306;307;308;401;402;403;404;405;406;407;408;409;410;411;412;413;501;502;503;504;505;601;602;603;604;605;606;607;608;609;610;611;612;613;614;615;616;617;618;619;620;701;702;703;704;705;801;802;803;804;805;806;807;808;809;810;811;812;813
Postcode;;;;;5035 BR;5035 JV;5035 LN;5035 LZ;5036 TK;5045 EN;5036 ZA;5036 BV;5045 JA;5045 JD;5045 ZZ;5043 LX;5043 RX;5043 RX;5043 EW;5043 NE;5043 BE;5044 HR;5044 MA;5044 KP;5044 SB;5042 WS;5042 WS;5042 XA;5042 JJ;5042 SE;5042 EK;5037 AB;5037 AD;5037 DA;5037 MJ;5037 MJ;5032 RT;5032 RR;5032 RR;5049 LP;5049 EM;5011 LP;5011 EC;5011 EC;5011 VN;5012 HB;5012 AE;5046 LP;5046 LP;5046 GN;5046 GN;5041 RR;5041 SC;5041 AR;5041 JS;5014 NK;5014 NK;5014 ED;5014 HZ;5014 AE;5038 TN;5038 WG;5038 XV;5038 BA;5038 CV;5025 XG;5025 SB;5025 LK;5025 LK;5025 JS;5021 VS;5021 VS;5021 LC;5021 XE;5021 BE;5018 BP;5038 MA;5038 GP;5038 GC;5038 HA;5038 CB;5017 EV;5017 JZ;5017 JE;5018 EL;5026 CA;5022 DM;5022 GE;5022 HA;5022 KX;5057 DJ;5057 DJ;5056 CR;5056 XB;5056 HX;5056 NA;5056 KK;5071 CX;5071 EJ;5071 AC;5071 AJ;5074 PJ;5074 MD
;opgeroepenen;;;186454;2934;1596;1727;1598;3244;3414;1435;2870;1964;2377;1127;1267;1280;329;3508;2149;2295;2123;2100;2328;764;758;1181;2163;3681;846;848;526;2951;2553;1348;1553;705;2072;1684;2412;4051;2544;2329;2269;1782;2044;1285;2879;2564;1714;3115;1034;535;2544;2005;1561;2108;2584;1725;1881;1434;1891;974;1310;1218;1054;1369;2385;2327;2225;2311;1626;3991;2614;2221;2316;2556;1521;1853;3426;506;2627;738;974;2343;1307;768;3302;2476;707;820;776;1554;2174;2472;1109;2487;3759;763;1041;1762;855;249
;geldige stempas;;;76545;963;547;409;775;1204;1185;503;666;667;930;589;351;1231;1200;990;418;910;692;440;577;545;637;601;266;624;308;708;1081;656;985;1634;435;362;1311;1176;281;828;1131;622;1061;469;801;591;603;729;980;664;893;1134;1058;778;756;768;774;711;519;1182;847;1317;1354;890;561;373;1000;482;597;393;378;987;633;1384;1015;730;1155;730;787;916;1039;325;319;1392;725;352;524;823;336;1434;526;914;407;985;833;917;1452;727;621;860;532;64
;geldig volmachtbewijs;;;8385;154;97;47;114;193;158;94;93;90;136;88;45;138;150;142;43;128;100;41;89;50;68;89;36;70;28;68;98;62;111;0;61;40;197;154;40;152;153;79;155;53;87;64;76;0;97;61;93;59;108;61;95;76;85;73;58;91;55;108;107;76;55;50;85;29;54;33;43;111;59;117;97;71;110;60;48;44;114;45;26;162;83;33;88;118;23;155;77;108;32;133;110;127;152;93;59;86;57;4
;toegelaten kiezers;;;84930;1117;644;456;889;1397;1343;597;759;757;1066;677;396;1369;1350;1132;461;1038;792;481;666;595;705;690;302;694;336;776;1179;718;1096;1634;496;402;1508;1330;321;980;1284;701;1216;522;888;655;679;729;1077;725;986;1193;1166;839;851;844;859;784;577;1273;902;1425;1461;966;616;423;1085;511;651;426;421;1098;692;1501;1112;801;1265;790;835;960;1153;370;345;1554;808;385;612;941;359;1589;603;1022;439;1118;943;1044;1604;820;680;946;589;68
;geldige stembiljetten;;;84541;1114;643;455;883;1393;1341;589;757;757;1062;674;392;1366;1346;1127;459;1032;788;479;657;593;698;687;301;689;332;769;1171;715;1092;1629;495;401;1507;1325;319;975;1273;693;1208;521;884;654;677;725;1071;719;982;1189;1163;837;847;842;858;780;575;1267;897;1408;1453;962;613;423;1079;508;643;424;418;1093;686;1491;1110;799;1257;783;831;954;1146;368;345;1546;807;384;608;939;357;1583;602;1019;438;1116;939;1042;1599;817;678;943;588;68
;blanco stembiljetten;;;198;2;1;1;6;2;0;6;0;0;2;0;2;1;2;5;2;4;2;0;3;1;2;1;0;3;3;3;3;3;1;3;1;0;2;2;2;0;2;7;6;0;3;0;1;2;2;4;0;1;2;1;3;1;0;3;1;6;2;7;4;0;2;0;1;1;5;2;3;1;4;6;1;2;4;2;1;3;2;2;0;3;0;0;3;1;0;2;0;2;0;1;3;1;3;3;2;2;1;0
;ongeldige stembiljetten;;;181;1;0;0;2;2;2;2;1;0;2;3;2;2;2;0;0;2;2;2;6;1;3;2;1;2;1;4;4;0;3;2;0;1;0;3;0;5;9;1;2;1;0;1;1;2;3;2;4;3;1;1;2;0;1;0;1;0;4;9;3;4;1;0;5;2;3;0;0;4;2;4;1;0;3;5;3;3;4;0;0;4;1;1;0;1;2;4;1;1;1;1;0;1;1;1;0;1;0;0
;aangetroffen stembiljetten;;;84920;1117;644;456;891;1397;1343;597;758;757;1066;677;396;1369;1350;1132;461;1038;792;481;666;595;703;690;302;694;336;776;1178;718;1096;1634;496;402;1509;1330;321;980;1284;701;1216;522;887;655;679;729;1076;725;986;1193;1166;839;852;843;859;783;577;1273;903;1424;1460;966;616;423;1085;511;651;426;421;1098;692;1501;1112;801;1264;790;835;960;1152;370;345;1553;808;385;611;941;359;1589;603;1022;439;1118;942;1044;1603;821;680;946;589;68
;meer stembiljetten dan toegelaten kiezers;;;6;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
