Postcode;lat;long
5011;51.58522033;5.08607557
5012;51.58406901;5.09989385
5013;51.56939624;5.09862646
5014;51.56704110;5.09306894
5015;51.56946978;5.11179853
5017;51.55508726;5.09789038
5018;51.55651734;5.10922686
5021;51.54823235;5.08904194
5022;51.54121745;5.09343481
5025;51.54911841;5.06887136
5026;51.54039411;5.06709053
5032;51.54702450;5.03888853
5035;51.58355036;4.97948564
5036;51.57075634;4.99009351
5037;51.55850348;5.05468673
5038;51.55726222;5.07958584
5041;51.56449351;5.07884515
5042;51.57120733;5.05442443
5043;51.58069440;5.01485839
5044;51.57601259;5.03748147
5045;51.58508832;4.99459753
5046;51.57251748;5.07618102
5047;51.59115150;5.02248720
5048;51.58722393;5.05142492
5049;51.58911042;5.07524865
5050;0.00000000;0.00000000
5051;51.52189834;5.06398733
5052;51.52700838;5.04915522
5053;51.53210727;5.07892003
5056;51.52844152;5.13593280
5057;51.58787817;5.13639160
5059;51.57372358;5.15619767
5060;0.00000000;0.00000000
5061;51.58064524;5.18740395
5062;51.57089780;5.20805633
5063;51.58091743;5.17099770
5066;51.44322080;5.17278628
5070;0.00000000;0.00000000
5071;51.61077847;5.14358860
5074;51.62199469;5.18068011
